kW;día;hora;temperatura;año;mes;estacion;tipo_dia
40,032;13;4;18,45;2019;1;verano;no habil
38,016;13;5;17,7;2019;1;verano;no habil
36,768;13;6;17,05;2019;1;verano;no habil
26,496;13;7;16,8;2019;1;verano;no habil
23,28;13;8;16,9;2019;1;verano;no habil
22,608;13;9;17,45;2019;1;verano;no habil
23,088;13;10;18,6;2019;1;verano;no habil
23,28;13;11;18,9;2019;1;verano;no habil
24,432;13;12;19,5;2019;1;verano;no habil
24,528;13;13;20,9;2019;1;verano;no habil
26,88;13;14;22,75;2019;1;verano;no habil
25,872;13;15;23,55;2019;1;verano;no habil
24,24;13;16;24;2019;1;verano;no habil
24,384;13;17;24,15;2019;1;verano;no habil
25,776;13;18;24,2;2019;1;verano;no habil
26,208;13;19;24,2;2019;1;verano;no habil
37,2;13;20;23,55;2019;1;verano;no habil
41,52;13;21;22,95;2019;1;verano;no habil
43,392;13;22;22,7;2019;1;verano;no habil
39,552;13;23;22,75;2019;1;verano;no habil
36,288;14;0;21,5;2019;1;verano;habil
34,224;14;1;19,75;2019;1;verano;habil
33,6;14;2;18,85;2019;1;verano;habil
29,28;14;3;18,6;2019;1;verano;habil
27,456;14;4;17,65;2019;1;verano;habil
26,544;14;5;17,3;2019;1;verano;habil
28,272;14;6;16,8;2019;1;verano;habil
19,728;14;7;16,85;2019;1;verano;habil
20,832;14;8;17,05;2019;1;verano;habil
21,12;14;9;17,2;2019;1;verano;habil
22,8;14;10;17,45;2019;1;verano;habil
20,112;14;11;18,2;2019;1;verano;habil
23,76;14;12;18,75;2019;1;verano;habil
25,008;14;13;19,15;2019;1;verano;habil
21,456;14;14;20,1;2019;1;verano;habil
22,176;14;15;19,95;2019;1;verano;habil
20,112;14;16;18,6;2019;1;verano;habil
20,64;14;17;17,45;2019;1;verano;habil
22,512;14;18;17,5;2019;1;verano;habil
25,296;14;19;17,9;2019;1;verano;habil
34,752;14;20;17,5;2019;1;verano;habil
35,904;14;21;16,2;2019;1;verano;habil
35,568;14;22;16,65;2019;1;verano;habil
35,76;14;23;16,4;2019;1;verano;habil
33,168;15;0;16,1;2019;1;verano;habil
31,728;15;1;16,1;2019;1;verano;habil
29,616;15;2;16,15;2019;1;verano;habil
28,128;15;3;16,35;2019;1;verano;habil
27,408;15;4;16,45;2019;1;verano;habil
26,592;15;5;16,7;2019;1;verano;habil
27,312;15;6;16,6;2019;1;verano;habil
19,008;15;7;15,9;2019;1;verano;habil
17,568;15;8;16,6;2019;1;verano;habil
19,92;15;9;17,7;2019;1;verano;habil
20,832;15;10;19,5;2019;1;verano;habil
25,584;15;11;21,25;2019;1;verano;habil
;15;12;23;2019;1;verano;habil
30,576;15;13;24,6;2019;1;verano;habil
32,016;15;14;26;2019;1;verano;habil
34,416;15;15;27,35;2019;1;verano;habil
35,136;15;16;28,3;2019;1;verano;habil
34,512;15;17;29;2019;1;verano;habil
36,912;15;18;29,35;2019;1;verano;habil
38,064;15;19;29,4;2019;1;verano;habil
36,624;15;20;28,95;2019;1;verano;habil
46,752;15;21;27,9;2019;1;verano;habil
;15;22;26,9;2019;1;verano;habil
50,208;15;23;25,7;2019;1;verano;habil
42,096;16;0;24,8;2019;1;verano;habil
39,984;16;1;24,4;2019;1;verano;habil
38,016;16;2;23,55;2019;1;verano;habil
36,144;16;3;22,95;2019;1;verano;habil
34,032;16;4;22,9;2019;1;verano;habil
33,984;16;5;22,8;2019;1;verano;habil
35,376;16;6;21,9;2019;1;verano;habil
23,184;16;7;22,4;2019;1;verano;habil
23,904;16;8;23,9;2019;1;verano;habil
;16;9;26,1;2019;1;verano;habil
27,888;16;10;26,95;2019;1;verano;habil
37,968;16;11;27,9;2019;1;verano;habil
50,88;16;12;29;2019;1;verano;habil
63,264;16;13;30,2;2019;1;verano;habil
71,04;16;14;31;2019;1;verano;habil
82,176;16;15;32,05;2019;1;verano;habil
90,384;16;16;32,8;2019;1;verano;habil
92,016;16;17;33,2;2019;1;verano;habil
86,4;16;18;33,6;2019;1;verano;habil
67,92;16;19;33,45;2019;1;verano;habil
;16;20;33,15;2019;1;verano;habil
56,256;16;21;32,1;2019;1;verano;habil
61,056;16;22;30,95;2019;1;verano;habil
50,688;16;23;24,9;2019;1;verano;habil
40,32;17;0;22,2;2019;1;verano;habil
36,672;17;1;21,35;2019;1;verano;habil
37,44;17;2;20,65;2019;1;verano;habil
36,768;17;3;19,4;2019;1;verano;habil
29,664;17;4;18,6;2019;1;verano;habil
;17;5;18,15;2019;1;verano;habil
28,944;17;6;17,85;2019;1;verano;habil
20,016;17;7;16,9;2019;1;verano;habil
22,128;17;8;16,05;2019;1;verano;habil
22,416;17;9;16,2;2019;1;verano;habil
21,984;17;10;15,3;2019;1;verano;habil
21,744;17;11;15;2019;1;verano;habil
23,136;17;12;16,05;2019;1;verano;habil
25,488;17;13;16,8;2019;1;verano;habil
23,616;17;14;16,7;2019;1;verano;habil
22,224;17;15;15,9;2019;1;verano;habil
22,272;17;16;14,55;2019;1;verano;habil
24,048;17;17;16,3;2019;1;verano;habil
24,288;17;18;17,85;2019;1;verano;habil
26,448;17;19;17,85;2019;1;verano;habil
31,92;17;20;17,8;2019;1;verano;habil
37,296;17;21;17,15;2019;1;verano;habil
;17;22;16,4;2019;1;verano;habil
38,208;17;23;15,7;2019;1;verano;habil
35,472;18;0;15,35;2019;1;verano;habil
33,744;18;1;15,1;2019;1;verano;habil
;18;2;14,7;2019;1;verano;habil
29,232;18;3;14,5;2019;1;verano;habil
27,264;18;4;14,25;2019;1;verano;habil
28,08;18;5;13,85;2019;1;verano;habil
28,176;18;6;14;2019;1;verano;habil
19,296;18;7;13,2;2019;1;verano;habil
17,712;18;8;14,35;2019;1;verano;habil
20,016;18;9;16,95;2019;1;verano;habil
20,688;18;10;17,7;2019;1;verano;habil
22,416;18;11;19,05;2019;1;verano;habil
25,68;18;12;20,15;2019;1;verano;habil
27,408;18;13;21,3;2019;1;verano;habil
29,232;18;14;22,35;2019;1;verano;habil
26,016;18;15;23,45;2019;1;verano;habil
27,984;18;16;24,35;2019;1;verano;habil
24,336;18;17;24,85;2019;1;verano;habil
29,52;18;18;25,15;2019;1;verano;habil
28,464;18;19;25,3;2019;1;verano;habil
30,336;18;20;24,8;2019;1;verano;habil
39,264;18;21;23,95;2019;1;verano;habil
39,408;18;22;23,15;2019;1;verano;habil
39,312;18;23;22,6;2019;1;verano;habil
37,44;19;0;22,2;2019;1;verano;no habil
;19;1;21,6;2019;1;verano;no habil
33,936;19;2;21;2019;1;verano;no habil
31,68;19;3;20,4;2019;1;verano;no habil
;19;4;19,35;2019;1;verano;no habil
29,712;19;5;19,3;2019;1;verano;no habil
28,416;19;6;18,6;2019;1;verano;no habil
21,888;19;7;17,4;2019;1;verano;no habil
21,936;19;8;19,15;2019;1;verano;no habil
22,608;19;9;21,9;2019;1;verano;no habil
25,152;19;10;23,5;2019;1;verano;no habil
26,448;19;11;24,45;2019;1;verano;no habil
32,544;19;12;25,55;2019;1;verano;no habil
40,224;19;13;26,75;2019;1;verano;no habil
44,928;19;14;27,8;2019;1;verano;no habil
46,224;19;15;28,6;2019;1;verano;no habil
47,328;19;16;29,55;2019;1;verano;no habil
52,32;19;17;30,3;2019;1;verano;no habil
56,016;19;18;30,55;2019;1;verano;no habil
52,896;19;19;30,55;2019;1;verano;no habil
39,408;19;20;29,95;2019;1;verano;no habil
50,112;19;21;28,95;2019;1;verano;no habil
51,264;19;22;27,8;2019;1;verano;no habil
47,472;19;23;26,55;2019;1;verano;no habil
45,84;20;0;25,8;2019;1;verano;no habil
45,024;20;1;24,9;2019;1;verano;no habil
;20;2;23,35;2019;1;verano;no habil
40,656;20;3;22,55;2019;1;verano;no habil
37,296;20;4;21,75;2019;1;verano;no habil
35,712;20;5;21,05;2019;1;verano;no habil
35,904;20;6;20,5;2019;1;verano;no habil
26,64;20;7;20,25;2019;1;verano;no habil
24,288;20;8;20,4;2019;1;verano;no habil
27,12;20;9;21,8;2019;1;verano;no habil
29,232;20;10;23,35;2019;1;verano;no habil
32,928;20;11;25,25;2019;1;verano;no habil
46,032;20;12;27,05;2019;1;verano;no habil
63,84;20;13;28,45;2019;1;verano;no habil
73,68;20;14;29,7;2019;1;verano;no habil
77,856;20;15;30,7;2019;1;verano;no habil
81,024;20;16;31,4;2019;1;verano;no habil
81,552;20;17;31,8;2019;1;verano;no habil
78,288;20;18;32,1;2019;1;verano;no habil
70,416;20;19;31,7;2019;1;verano;no habil
59,712;20;20;30,95;2019;1;verano;no habil
57,936;20;21;30,1;2019;1;verano;no habil
63,072;20;22;28,55;2019;1;verano;no habil
61,536;20;23;27,4;2019;1;verano;no habil
62,736;21;0;26,55;2019;1;verano;habil
63,552;21;1;25,75;2019;1;verano;habil
65,472;21;2;24,8;2019;1;verano;habil
60,384;21;3;24,05;2019;1;verano;habil
58,416;21;4;22,6;2019;1;verano;habil
56,832;21;5;21,65;2019;1;verano;habil
52,704;21;6;21,05;2019;1;verano;habil
;21;7;20,9;2019;1;verano;habil
