kW;temperatura;año;mes;hora;día;estacion;tipo_dia
23,76;18,75;2019;1;12;14;verano;habil
25,008;19,15;2019;1;13;14;verano;habil
21,456;20,1;2019;1;14;14;verano;habil
22,176;19,95;2019;1;15;14;verano;habil
20,112;18,6;2019;1;16;14;verano;habil
20,64;17,45;2019;1;17;14;verano;habil
22,512;17,5;2019;1;18;14;verano;habil
25,296;17,9;2019;1;19;14;verano;habil
34,752;17,5;2019;1;20;14;verano;habil
35,904;16,2;2019;1;21;14;verano;habil
35,568;16,65;2019;1;22;14;verano;habil
35,76;16,4;2019;1;23;14;verano;habil
33,168;16,1;2019;1;0;15;verano;habil
31,728;16,1;2019;1;1;15;verano;habil
29,616;16,15;2019;1;2;15;verano;habil
28,128;16,35;2019;1;3;15;verano;habil
27,408;16,45;2019;1;4;15;verano;habil
26,592;16,7;2019;1;5;15;verano;habil
27,312;16,6;2019;1;6;15;verano;habil
19,008;15,9;2019;1;7;15;verano;habil
17,568;16,6;2019;1;8;15;verano;habil
19,92;17,7;2019;1;9;15;verano;habil
20,832;19,5;2019;1;10;15;verano;habil
25,584;21,25;2019;1;11;15;verano;habil
28,752;23;2019;1;12;15;verano;habil
30,576;24,6;2019;1;13;15;verano;habil
32,016;26;2019;1;14;15;verano;habil
34,416;27,35;2019;1;15;15;verano;habil
35,136;28,3;2019;1;16;15;verano;habil
34,512;29;2019;1;17;15;verano;habil
36,912;29,35;2019;1;18;15;verano;habil
38,064;29,4;2019;1;19;15;verano;habil
36,624;28,95;2019;1;20;15;verano;habil
46,752;27,9;2019;1;21;15;verano;habil
46,848;26,9;2019;1;22;15;verano;habil
50,208;25,7;2019;1;23;15;verano;habil
42,096;24,8;2019;1;0;16;verano;habil
39,984;24,4;2019;1;1;16;verano;habil
38,016;23,55;2019;1;2;16;verano;habil
36,144;22,95;2019;1;3;16;verano;habil
34,032;22,9;2019;1;4;16;verano;habil
33,984;22,8;2019;1;5;16;verano;habil
35,376;21,9;2019;1;6;16;verano;habil
23,184;22,4;2019;1;7;16;verano;habil
23,904;23,9;2019;1;8;16;verano;habil
25,2;26,1;2019;1;9;16;verano;habil
27,888;26,95;2019;1;10;16;verano;habil
37,968;27,9;2019;1;11;16;verano;habil
50,88;29;2019;1;12;16;verano;habil
63,264;30,2;2019;1;13;16;verano;habil
71,04;31;2019;1;14;16;verano;habil
82,176;32,05;2019;1;15;16;verano;habil
90,384;32,8;2019;1;16;16;verano;habil
92,016;33,2;2019;1;17;16;verano;habil
86,4;33,6;2019;1;18;16;verano;habil
67,92;33,45;2019;1;19;16;verano;habil
57,264;33,15;2019;1;20;16;verano;habil
56,256;32,1;2019;1;21;16;verano;habil
61,056;30,95;2019;1;22;16;verano;habil
50,688;24,9;2019;1;23;16;verano;habil
40,32;22,2;2019;1;0;17;verano;habil
36,672;21,35;2019;1;1;17;verano;habil
37,44;20,65;2019;1;2;17;verano;habil
36,768;19,4;2019;1;3;17;verano;habil
29,664;18,6;2019;1;4;17;verano;habil
29,76;18,15;2019;1;5;17;verano;habil
28,944;17,85;2019;1;6;17;verano;habil
20,016;16,9;2019;1;7;17;verano;habil
22,128;16,05;2019;1;8;17;verano;habil
22,416;16,2;2019;1;9;17;verano;habil
21,984;15,3;2019;1;10;17;verano;habil
21,744;15;2019;1;11;17;verano;habil
23,136;16,05;2019;1;12;17;verano;habil
25,488;16,8;2019;1;13;17;verano;habil
23,616;16,7;2019;1;14;17;verano;habil
22,224;15,9;2019;1;15;17;verano;habil
22,272;14,55;2019;1;16;17;verano;habil
24,048;16,3;2019;1;17;17;verano;habil
24,288;17,85;2019;1;18;17;verano;habil
26,448;17,85;2019;1;19;17;verano;habil
31,92;17,8;2019;1;20;17;verano;habil
37,296;17,15;2019;1;21;17;verano;habil
40,752;16,4;2019;1;22;17;verano;habil
38,208;15,7;2019;1;23;17;verano;habil
35,472;15,35;2019;1;0;18;verano;habil
33,744;15,1;2019;1;1;18;verano;habil
30,768;14,7;2019;1;2;18;verano;habil
29,232;14,5;2019;1;3;18;verano;habil
27,264;14,25;2019;1;4;18;verano;habil
28,08;13,85;2019;1;5;18;verano;habil
28,176;14;2019;1;6;18;verano;habil
19,296;13,2;2019;1;7;18;verano;habil
17,712;14,35;2019;1;8;18;verano;habil
20,016;16,95;2019;1;9;18;verano;habil
20,688;17,7;2019;1;10;18;verano;habil
22,416;19,05;2019;1;11;18;verano;habil
25,68;20,15;2019;1;12;18;verano;habil
27,408;21,3;2019;1;13;18;verano;habil
29,232;22,35;2019;1;14;18;verano;habil
26,016;23,45;2019;1;15;18;verano;habil
27,984;24,35;2019;1;16;18;verano;habil
24,336;24,85;2019;1;17;18;verano;habil
29,52;25,15;2019;1;18;18;verano;habil
28,464;25,3;2019;1;19;18;verano;habil
30,336;24,8;2019;1;20;18;verano;habil
39,264;23,95;2019;1;21;18;verano;habil
39,408;23,15;2019;1;22;18;verano;habil
39,312;22,6;2019;1;23;18;verano;habil
37,44;22,2;2019;1;0;19;verano;no habil
36,48;21,6;2019;1;1;19;verano;no habil
33,936;21;2019;1;2;19;verano;no habil
31,68;20,4;2019;1;3;19;verano;no habil
29,616;19,35;2019;1;4;19;verano;no habil
29,712;19,3;2019;1;5;19;verano;no habil
28,416;18,6;2019;1;6;19;verano;no habil
21,888;17,4;2019;1;7;19;verano;no habil
21,936;19,15;2019;1;8;19;verano;no habil
22,608;21,9;2019;1;9;19;verano;no habil
25,152;23,5;2019;1;10;19;verano;no habil
26,448;24,45;2019;1;11;19;verano;no habil
32,544;25,55;2019;1;12;19;verano;no habil
40,224;26,75;2019;1;13;19;verano;no habil
44,928;27,8;2019;1;14;19;verano;no habil
46,224;28,6;2019;1;15;19;verano;no habil
47,328;29,55;2019;1;16;19;verano;no habil
52,32;30,3;2019;1;17;19;verano;no habil
56,016;30,55;2019;1;18;19;verano;no habil
52,896;30,55;2019;1;19;19;verano;no habil
39,408;29,95;2019;1;20;19;verano;no habil
50,112;28,95;2019;1;21;19;verano;no habil
51,264;27,8;2019;1;22;19;verano;no habil
47,472;26,55;2019;1;23;19;verano;no habil
45,84;25,8;2019;1;0;20;verano;no habil
45,024;24,9;2019;1;1;20;verano;no habil
41,76;23,35;2019;1;2;20;verano;no habil
40,656;22,55;2019;1;3;20;verano;no habil
37,296;21,75;2019;1;4;20;verano;no habil
35,712;21,05;2019;1;5;20;verano;no habil
35,904;20,5;2019;1;6;20;verano;no habil
26,64;20,25;2019;1;7;20;verano;no habil
24,288;20,4;2019;1;8;20;verano;no habil
27,12;21,8;2019;1;9;20;verano;no habil
29,232;23,35;2019;1;10;20;verano;no habil
32,928;25,25;2019;1;11;20;verano;no habil
46,032;27,05;2019;1;12;20;verano;no habil
63,84;28,45;2019;1;13;20;verano;no habil
73,68;29,7;2019;1;14;20;verano;no habil
77,856;30,7;2019;1;15;20;verano;no habil
81,024;31,4;2019;1;16;20;verano;no habil
81,552;31,8;2019;1;17;20;verano;no habil
78,288;32,1;2019;1;18;20;verano;no habil
70,416;31,7;2019;1;19;20;verano;no habil
59,712;30,95;2019;1;20;20;verano;no habil
57,936;30,1;2019;1;21;20;verano;no habil
63,072;28,55;2019;1;22;20;verano;no habil
61,536;27,4;2019;1;23;20;verano;no habil
62,736;26,55;2019;1;0;21;verano;habil
63,552;25,75;2019;1;1;21;verano;habil
65,472;24,8;2019;1;2;21;verano;habil
60,384;24,05;2019;1;3;21;verano;habil
58,416;22,6;2019;1;4;21;verano;habil
56,832;21,65;2019;1;5;21;verano;habil
52,704;21,05;2019;1;6;21;verano;habil
39,888;20,9;2019;1;7;21;verano;habil
37,056;21,15;2019;1;8;21;verano;habil
34,176;22,15;2019;1;9;21;verano;habil
36,432;23,6;2019;1;10;21;verano;habil
47,568;25,15;2019;1;11;21;verano;habil
55,248;26,6;2019;1;12;21;verano;habil
69,744;27,85;2019;1;13;21;verano;habil
84;29,15;2019;1;14;21;verano;habil
86,784;30,45;2019;1;15;21;verano;habil
84,144;31,2;2019;1;16;21;verano;habil
92,688;32,05;2019;1;17;21;verano;habil
87,792;32,55;2019;1;18;21;verano;habil
82,896;32,4;2019;1;19;21;verano;habil
67,488;32;2019;1;20;21;verano;habil
60,96;30,9;2019;1;21;21;verano;habil
70,416;29,6;2019;1;22;21;verano;habil
73,44;28,4;2019;1;23;21;verano;habil
77,952;28,05;2019;1;0;22;verano;habil
77,664;27,25;2019;1;1;22;verano;habil
73,632;26,65;2019;1;2;22;verano;habil
72,144;25,85;2019;1;3;22;verano;habil
69,792;25,7;2019;1;4;22;verano;habil
65,328;25,55;2019;1;5;22;verano;habil
57,888;24,65;2019;1;6;22;verano;habil
43,488;24;2019;1;7;22;verano;habil
43,056;24,7;2019;1;8;22;verano;habil
42,048;27;2019;1;9;22;verano;habil
46,8;28,15;2019;1;10;22;verano;habil
63,456;29,35;2019;1;11;22;verano;habil
73,776;30,6;2019;1;12;22;verano;habil
84,096;31,75;2019;1;13;22;verano;habil
